         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      798    0.001    0.000    0.001    0.000 __init__.py:966(<lambda>)
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
    26/14    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
     5352    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
        1    0.001    0.001    0.001    0.001 backend_bases.py:1671(FigureCanvasBase)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1381(make_dataclass)
     2771    0.001    0.000    0.001    0.000 inspect.py:3002(<genexpr>)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
       20    0.000    0.000    0.001    0.000 core.py:4889(parseImpl)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
     2899    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 __init__.py:454(StrFormatStyle)
      189    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
       44    0.000    0.000    0.001    0.000 _base.py:51(__init__)
       22    0.000    0.000    0.001    0.000 core.py:4956(parseImpl)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1204(dataclass)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1221(wrap)
1830/1660    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 dataclasses.py:884(_process_class)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
      409    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
      658    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      804    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
        1    0.000    0.000    0.001    0.001 ImageFile.py:1(<module>)
     2375    0.001    0.000    0.001    0.000 _parser.py:176(append)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
      546    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
